Date,Open,High,Low,Close,Adj Close,Volume
2012-04-12,33.25,34.21,32.0,34.0,27.99,654700
2012-04-13,34.0,37.45,33.91,37.0,30.46,1685000
2012-04-16,37.0,37.0,35.99,36.55,30.09,550200
2012-04-17,36.4,36.75,36.0,36.0,29.63,179600
2012-04-18,36.0,36.44,34.5,36.0,29.63,207100
2012-04-19,36.0,37.22,35.8,36.0,29.63,598100
2012-04-20,36.1,37.0,36.1,36.32,29.9,149700
2012-04-23,36.24,36.24,35.42,35.68,29.37,95700
2012-04-24,36.0,36.0,34.68,34.75,28.61,124500
2012-04-25,34.8,35.5,34.5,34.75,28.61,266200
2012-04-26,34.61,34.99,34.44,34.95,28.77,183900
2012-04-27,35.25,35.25,33.97,34.11,28.08,536000
2012-04-30,34.34,34.9,34.0,34.05,28.03,4105700
2012-05-01,33.74,34.1,32.58,32.76,26.97,6878600
2012-05-02,32.6,32.67,31.63,32.0,26.34,11287600
2012-05-03,31.93,31.98,31.05,31.39,25.84,11800000
2012-05-04,30.85,31.09,30.12,30.16,24.83,10881000
2012-05-07,30.1,30.55,29.25,29.35,24.16,12257200
2012-05-08,29.09,30.41,28.75,30.1,24.78,14601300
2012-05-09,29.81,32.89,29.73,32.49,26.74,13990000
2012-05-10,33.05,33.35,31.52,32.48,26.74,8862000
2012-05-11,31.73,32.15,31.4,31.83,26.2,4460100
2012-05-14,31.19,31.58,30.77,31.32,25.78,6398200
2012-05-15,31.35,32.32,31.06,31.67,26.07,6362800
2012-05-16,31.46,32.39,31.25,32.1,26.42,6118600
2012-05-17,31.89,32.0,31.2,31.26,25.73,5850500
2012-05-18,31.43,31.69,30.99,31.38,25.83,7940800
2012-05-21,31.23,32.34,30.95,32.19,26.5,5480100
2012-05-22,31.88,32.27,31.33,31.63,26.04,5415000
2012-05-23,31.35,31.49,30.88,31.41,25.86,5268900
2012-05-24,31.42,31.44,30.75,31.13,25.63,4210400
2012-05-25,31.01,31.41,30.83,31.3,25.77,3217900
2012-05-29,31.28,31.72,30.86,31.01,25.53,3979600
2012-05-30,30.79,30.83,30.18,30.44,25.06,6000600
2012-05-31,30.26,30.35,29.72,30.03,24.72,8098000
2012-06-01,29.5,30.17,29.38,29.92,24.63,5701700
2012-06-04,29.3,30.19,29.25,29.53,24.31,4844900
2012-06-05,29.37,30.1,29.32,29.9,24.61,4046500
2012-06-06,30.03,32.0,29.82,31.53,25.95,8609400
2012-06-07,32.07,32.75,31.74,31.83,26.2,7694300
2012-06-08,31.66,32.35,31.51,32.12,26.44,4302100
2012-06-11,32.45,33.05,32.23,32.6,26.84,5999000
2012-06-12,32.56,33.74,32.49,33.49,27.57,6809900
2012-06-13,33.27,33.49,32.54,32.77,26.98,2876200
2012-06-14,32.77,33.64,32.31,33.53,27.6,4460000
2012-06-15,33.6,34.91,33.38,34.9,28.73,9892400
2012-06-18,34.38,34.5,33.83,33.86,27.87,4254400
2012-06-19,34.06,34.53,33.73,33.86,27.87,4873500
2012-06-20,33.79,34.85,33.48,34.66,28.53,4628400
2012-06-21,34.7,34.76,33.06,33.48,27.56,3489900
2012-06-22,33.65,34.71,33.03,34.16,28.12,4359500
2012-06-25,33.69,33.69,32.76,32.87,27.06,3518600
2012-06-26,32.81,33.98,32.4,32.58,26.82,3274700
2012-06-27,32.61,33.4,31.42,31.89,26.25,3615600
2012-06-28,31.54,32.4,31.29,32.31,26.6,3115900
2012-06-29,32.78,33.38,32.65,33.24,27.36,4599500
2012-07-02,33.59,34.32,33.37,34.0,27.99,3868500
2012-07-03,34.02,34.63,33.83,34.24,28.19,3647400
2012-07-05,33.83,34.24,33.54,33.8,27.82,2711300
2012-07-06,33.4,33.68,32.92,33.37,27.47,1907800
