Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,61.24,64.15,60.92,63.96,46.21,4741400
2010-01-05,65.18,68.33,64.95,67.85,49.02,5644300
2010-01-06,67.07,68.16,66.4,66.96,48.37,2738800
2010-01-07,66.48,68.48,66.08,68.39,49.41,2388500
2010-01-08,67.69,68.39,67.13,67.9,49.05,1539800
2010-01-11,68.02,69.11,67.4,67.68,48.89,1909000
2010-01-12,67.47,68.88,66.78,67.98,49.11,3306500
2010-01-13,68.42,69.7,67.44,69.4,50.14,2959300
2010-01-14,69.02,72.38,69.02,72.11,52.1,4431900
2010-01-15,71.98,72.85,69.67,70.5,50.93,2742300
2010-01-19,70.2,71.55,70.08,71.32,51.52,1326000
2010-01-20,70.32,70.72,67.2,68.16,49.24,3639200
2010-01-21,68.16,68.98,65.25,65.37,47.23,2756800
2010-01-22,65.21,66.1,63.6,63.95,46.2,2227900
2010-01-25,65.0,65.51,62.75,63.59,45.94,2048000
2010-01-26,62.85,64.09,62.69,62.85,45.41,1623100
2010-01-27,62.75,63.21,60.82,62.76,45.34,2616200
2010-01-28,63.37,64.37,61.6,61.77,44.63,2331500
2010-01-29,62.6,64.08,61.66,61.88,44.7,2626500
2010-02-01,62.3,65.64,62.3,65.54,47.35,2510900
2010-02-02,65.12,65.64,63.55,64.84,46.84,1950000
2010-02-03,64.08,64.28,63.14,64.24,46.41,1976800
2010-02-04,63.42,63.76,60.75,60.84,43.95,2245400
2010-02-05,61.39,62.13,59.7,61.37,44.34,2634800
2010-02-08,61.65,62.76,60.03,60.76,43.9,1496200
2010-02-09,62.03,62.59,60.6,61.63,44.52,1838500
2010-02-10,61.5,62.39,60.85,61.4,44.36,1256000
2010-02-11,61.28,65.35,60.99,64.96,46.93,2880900
2010-02-12,63.74,63.88,62.24,63.04,45.54,3141400
2010-02-16,63.98,65.12,63.78,64.91,46.89,1977000
2010-02-17,65.48,65.75,63.54,64.41,46.53,1679100
2010-02-18,63.29,63.33,61.46,62.01,44.8,3167400
2010-02-19,61.66,63.13,61.35,62.25,44.97,2159100
2010-02-22,62.61,63.56,62.52,63.02,45.53,1679400
2010-02-23,63.1,63.87,62.24,63.68,46.01,3269700
2010-02-24,63.91,64.6,62.76,63.35,45.77,3057100
2010-02-25,62.39,63.01,61.54,62.8,45.37,3694500
2010-02-26,62.49,64.5,61.18,63.57,45.93,3955800
