Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,40.92,41.55,40.52,41.1,40.47,540500
2010-01-05,41.03,42.72,41.0,42.64,41.98,834600
2010-01-06,42.51,43.76,42.51,43.66,42.99,1111400
2010-01-07,43.45,44.5,43.45,43.66,42.99,476800
2010-01-08,43.39,43.73,43.14,43.59,42.92,332400
2010-01-11,43.84,43.87,43.13,43.5,42.83,327100
2010-01-12,44.76,44.92,42.85,43.35,42.68,851600
2010-01-13,43.62,43.92,43.35,43.72,43.05,433400
2010-01-14,43.55,44.13,43.51,43.64,42.97,571500
2010-01-15,43.29,43.9,43.06,43.21,42.55,308200
2010-01-19,43.32,43.6,42.94,43.51,42.84,417400
2010-01-20,43.04,43.44,42.89,43.25,42.58,509800
2010-01-21,43.29,43.52,42.25,42.64,41.98,598200
2010-01-22,42.67,42.84,41.34,41.51,40.87,397600
2010-01-25,41.99,41.99,40.95,41.02,40.39,662300
2010-01-26,40.94,41.31,39.94,40.01,39.39,1022900
2010-01-27,39.87,40.33,39.54,40.22,39.6,602700
2010-01-28,40.31,40.48,39.8,40.0,39.38,877000
2010-01-29,40.2,40.33,39.2,39.29,38.69,635200
2010-02-01,39.58,39.96,39.3,39.81,39.2,440100
2010-02-02,39.76,40.69,39.69,40.66,40.03,373300
2010-02-03,40.34,40.35,39.74,40.04,39.42,691400
2010-02-04,39.67,40.41,39.5,39.54,38.93,747900
2010-02-05,39.52,39.52,38.25,38.69,38.1,1108200
2010-02-08,38.86,39.42,38.47,38.6,38.01,578300
2010-02-09,38.94,39.5,38.65,39.26,38.66,353700
2010-02-10,39.03,39.51,38.86,39.13,38.53,442000
2010-02-11,39.16,39.93,38.9,39.87,39.26,370500
2010-02-12,39.56,40.25,39.26,40.22,39.6,443500
2010-02-16,40.46,40.87,40.08,40.85,40.22,422700
2010-02-17,41.6,43.07,41.5,42.38,41.73,1247000
2010-02-18,42.39,42.73,42.28,42.68,42.02,408900
2010-02-19,42.71,42.99,42.13,42.38,41.73,502100
2010-02-22,42.35,42.51,42.15,42.36,41.71,328900
2010-02-23,42.15,42.79,41.9,42.5,41.85,432000
2010-02-24,42.56,43.28,42.41,43.22,42.56,478900
2010-02-25,42.61,43.03,42.33,42.99,42.33,458700
2010-02-26,43.09,43.61,42.97,43.52,42.85,401800
2010-03-01,43.61,44.32,43.5,44.3,43.62,400300
2010-03-02,44.31,44.59,43.85,44.14,43.46,513200
2010-03-03,43.89,43.89,42.38,42.44,41.79,1443100
2010-03-04,42.63,43.0,42.49,42.9,42.24,990600
2010-03-05,43.19,44.31,43.13,44.31,43.63,902700
